Female,Pairbonded,TopMale,PropTopSongs,nTopSongs,nEggs,Aviary,EggsAssigned,Disrupted
FO2R,True,MWMG,0.8439716312056738,119.0,1.0,14,True,True
FOGO,True,MDMG,0.9943502824858758,352.0,11.0,14,True,True
FOLW,False,MWMG,0.3333333333333333,1.0,0.0,14,True,True
FOMG,True,MDGR,0.9198113207547169,195.0,4.0,14,True,True
FOWD,True,M2YL,0.6492537313432836,87.0,10.0,14,True,True
FRBR,True,MRLW,0.6363636363636364,35.0,3.0,14,True,True
FYR,True,MBOD,0.9612403100775194,124.0,6.0,14,True,True
F2B,True,MW2R,0.8938053097345132,303.0,0.0,15,True,False
F2PO,True,MLY,0.7521367521367521,88.0,3.0,15,True,False
F2RD,True,MO,0.9495412844036697,207.0,1.0,15,True,False
FNMO,True,MBWD,0.9823434991974318,612.0,7.0,15,True,False
FPBM,False,MW2R,1.0,7.0,0.0,15,True,False
FPOD,True,MLY,0.9155124653739612,661.0,10.0,15,True,False
FR2G,True,MW2R,0.9835766423357665,539.0,5.0,15,True,False
FR2M,True,MO,0.8202247191011236,73.0,0.0,15,True,False
FRG,False,MW2R,0.5607476635514018,60.0,1.0,15,True,False
FWGP,True,MDGR,0.6694915254237288,79.0,0.0,15,True,False
FWN,True,MO,0.9411764705882353,208.0,5.0,15,True,False
F2MB,True,MRLW,0.8201058201058201,155.0,7.0,16,True,False
FGOG,True,MRBG,0.8726114649681529,137.0,6.0,16,True,False
FLD,True,MGRG,0.9924050632911392,392.0,5.0,16,True,False
FLOY,True,MMG,0.9809782608695652,361.0,4.0,16,True,False
FLWD,True,MRBG,0.8379888268156425,150.0,14.0,16,True,False
FNM,True,MRBG,0.9269662921348315,165.0,5.0,16,True,False
FO2R,True,MDBR,0.921875,59.0,0.0,16,True,False
FOY,True,MGRG,0.9487870619946092,352.0,0.0,16,True,False
FRW,True,MRLW,0.6714801444043321,186.0,0.0,16,True,False
FYBL,True,MDBR,0.9322033898305084,110.0,6.0,16,True,False
F2P,True,MMO,0.9724770642201835,106.0,14.0,17,True,False
FBHY,True,MMPW,0.9074074074074074,49.0,0.0,17,True,False
FBNB,True,MPYW,0.885,177.0,0.0,17,True,False
FBPL,True,MLN,0.6481481481481481,35.0,2.0,17,True,False
FDLD,True,MLN,0.7254901960784313,37.0,0.0,17,True,False
FGWL,True,MLN,0.8783783783783784,65.0,1.0,17,True,False
FLGD,False,MY,0.6086956521739131,14.0,0.0,17,True,False
FM2P,True,MLN,0.935064935064935,72.0,4.0,17,True,False
FMBR,False,MY,0.2,3.0,0.0,17,True,False
FNHW,True,MOPR,0.9184782608695652,169.0,1.0,17,True,False
FNYL,True,MLN,0.8863636363636364,39.0,1.0,17,True,False
FNYM,True,MLN,0.7142857142857143,35.0,2.0,17,True,False
FOMG,False,MY,0.75,18.0,0.0,17,True,False
FPBW,False,MY,0.9090909090909091,20.0,10.0,17,True,False
FPLH,True,MMPW,0.967391304347826,445.0,4.0,17,True,False
FPWH,True,MHLH,0.9508196721311475,348.0,8.0,17,True,False
FRLP,True,MY,0.9194630872483222,137.0,0.0,17,True,False
FRWM,True,MMO,0.6911764705882353,47.0,0.0,17,True,False
